"Date" "Pays" "Conso" "Temp" "month" "year" "day" "weekend" "cosinus" "sinus" "wday" "quarter" "season" "holidays" "day_length" "jc" "lagholidays" "leadholidays" "teff" "seuil" "T00" "Wind_Speed" "Cloud_covering" "Solar_radiation" "Raining_Level" "Pressure" "t1" "t2" "t3" "t4" "t5" "t6" "t7"
2014-01-03 "FR" 1640,47807 9,5766 "January" "2014" "Friday" "0" 0,998666816288476 0,0516196672232538 "6" "1" "peak_season" "0" 12,0002031831609 "0" "0" "0" 9,250514 17,2 0 NA NA NA NA NA NA NA NA NA NA NA NA
2014-01-04 "FR" 1625,09502 9,1782 "January" "2014" "Saturday" "1" 0,997630305306586 0,0688024268023199 "7" "1" "peak_season" "0" 12,0006779362096 "1" "0" "0" 9,25172 17,2 0 NA NA NA NA NA 9,5766 NA NA NA NA NA NA
2014-01-05 "FR" 1712,82531 7,3562 "January" "2014" "Sunday" "1" 0,996298174934608 0,0859647987374465 "1" "1" "peak_season" "0" 12,0011871772342 "1" "0" "0" 8,021204 17,2 0 NA NA NA NA NA 9,1782 9,5766 NA NA NA NA NA
2014-01-06 "FR" 1706,5724 11,0275 "January" "2014" "Monday" "0" 0,994670819911521 0,103101697447435 "2" "1" "peak_season" "0" 12,0017306359609 "0" "0" "0" 10,107491 17,2 0 NA NA NA NA NA 7,3562 9,1782 9,5766 NA NA NA NA
2014-01-07 "FR" 1627,61008 11,1275 "January" "2014" "Tuesday" "0" 0,99274872245774 0,120208044899353 "3" "1" "peak_season" "0" 12,0023080261548 "0" "0" "0" 10,507092 17,2 0 NA NA NA NA NA 11,0275 7,3562 9,1782 9,5766 NA NA NA
2014-01-08 "FR" 1584,28063 11,31 "January" "2014" "Wednesday" "0" 0,990532452132223 0,137278772113265 "4" "1" "peak_season" "0" 12,0029190464152 "0" "0" "0" 11,233775 17,2 0 NA NA NA NA NA 11,1275 11,0275 7,3562 9,1782 9,5766 NA NA
2014-01-09 "FR" 1685,884 10,9075 "January" "2014" "Thursday" "0" 0,988022665663698 0,154308820664281 "5" "1" "peak_season" "0" 12,0035633813673 "0" "0" "0" 11,011125 17,2 0 NA NA NA NA NA 11,31 11,1275 11,0275 7,3562 9,1782 9,5766 NA
2014-01-10 "FR" 1792,78081 7,9475 "January" "2014" "Friday" "0" 0,985220106756061 0,171293144181478 "6" "1" "peak_season" "0" 12,0042407019933 "0" "0" "0" 8,9887 17,2 0 NA NA NA NA NA 10,9075 11,31 11,1275 11,0275 7,3562 9,1782 9,5766
2014-01-11 "FR" 1689,72862 6,9525 "January" "2014" "Saturday" "1" 0,982125605868001 0,188226709843244 "7" "1" "peak_season" "0" 12,0049506669574 "1" "0" "0" 7,75445 17,2 0 NA NA NA NA NA 7,9475 10,9075 11,31 11,1275 11,0275 7,3562 9,1782
2014-01-12 "FR" 1754,15606 6,25 "January" "2014" "Sunday" "1" 0,978740079966915 0,205104499868619 "1" "1" "peak_season" "0" 12,0056929228041 "1" "0" "0" 6,641025 17,2 0 NA NA NA NA NA 6,9525 7,9475 10,9075 11,31 11,1275 11,0275 7,3562
2014-01-13 "FR" 1892,11064 6,6725 "January" "2014" "Monday" "0" 0,975064532257195 0,221921513004165 "2" "1" "peak_season" "0" 12,00646710568 "0" "0" "0" 6,645475 17,2 0 NA NA NA NA NA 6,25 6,9525 7,9475 10,9075 11,31 11,1275 11,0275
2014-01-14 "FR" 2027,59615 5,7125 "January" "2014" "Tuesday" "0" 0,97110005188295 0,23867276600595 "3" "1" "peak_season" "0" 12,007272841533 "0" "0" "0" 5,9617 17,2 0 NA NA NA NA NA 6,6725 6,25 6,9525 7,9475 10,9075 11,31 11,1275
2014-01-15 "FR" 1995,56295 4,705 "January" "2014" "Wednesday" "0" 0,966847813605277 0,255353295116187 "4" "1" "peak_season" "0" 12,0081097471714 "0" "0" "0" 5,191075 17,2 0 NA NA NA NA NA 5,7125 6,6725 6,25 6,9525 7,9475 10,9075 11,31
2014-01-16 "FR" 1880,78577 4,365 "January" "2014" "Thursday" "0" 0,962309077454149 0,271958157534106 "5" "1" "peak_season" "0" 12,0089774312576 "0" "0" "0" 4,6384 17,2 0 NA NA NA NA NA 4,705 5,7125 6,6725 6,25 6,9525 7,9475 10,9075
2014-01-17 "FR" 1845,55785 4,7075 "January" "2014" "Friday" "0" 0,957485188355039 0,288482432880609 "6" "1" "peak_season" "0" 12,0098754950364 "0" "0" "0" 4,648875 17,2 0 NA NA NA NA NA 4,365 4,705 5,7125 6,6725 6,25 6,9525 7,9475
2014-01-18 "FR" 1707,26063 5,2275 "January" "2014" "Saturday" "1" 0,952377575730397 0,304921224656289 "7" "1" "peak_season" "0" 12,0108035329315 "1" "0" "0" 5,0011 17,2 0 NA NA NA NA NA 4,7075 4,365 4,705 5,7125 6,6725 6,25 6,9525
2014-01-19 "FR" 1742,25734 5,25 "January" "2014" "Sunday" "1" 0,946987753076075 0,321269661692364 "1" "1" "peak_season" "0" 12,0117611338033 "1" "0" "0" 5,159375 17,2 0 NA NA NA NA NA 5,2275 4,7075 4,365 4,705 5,7125 6,6725 6,25
2014-01-20 "FR" 2047,21051 4,87 "January" "2014" "Monday" "0" 0,941317317512847 0,337522899594113 "2" "1" "peak_season" "0" 12,0127478816774 "0" "0" "0" 4,9918 17,2 0 NA NA NA NA NA 5,25 5,2275 4,7075 4,365 4,705 5,7125 6,6725
2014-01-21 "FR" 2158,96499 4,895 "January" "2014" "Tuesday" "0" 0,935367949313148 0,353676122176372 "3" "1" "peak_season" "0" 12,0137633558114 "0" "0" "0" 4,94755 17,2 0 NA NA NA NA NA 4,87 5,25 5,2275 4,7075 4,365 4,705 5,7125
2014-01-25 "FR" 1850,647979 5,955 "January" "2014" "Saturday" "1" 0,908817637339503 0,417193602612317 "7" "1" "peak_season" "0" 12,0181040014823 "1" "0" "0" 6,116375 17,2 0 NA NA NA NA NA 4,895 4,87 5,25 5,2275 4,7075 4,365 4,705
2014-01-26 "FR" 1808,372181 8,2975 "January" "2014" "Sunday" "1" 0,901501684131884 0,432775592550431 "1" "1" "peak_season" "0" 12,0192567037212 "1" "0" "0" 7,546475 17,2 0 NA NA NA NA NA 5,955 4,895 4,87 5,25 5,2275 4,7075 4,365
2014-01-27 "FR" 2133,206722 6,8 "January" "2014" "Monday" "0" 0,893918596519257 0,448229341740411 "2" "1" "peak_season" "0" 12,0204355604119 "0" "0" "0" 6,919375 17,2 0 NA NA NA NA NA 8,2975 5,955 4,895 4,87 5,25 5,2275 4,7075
2014-01-28 "FR" 2147,176758 5,16 "January" "2014" "Tuesday" "0" 0,886070621534138 0,463550270902851 "3" "1" "peak_season" "0" 12,021640140348 "0" "0" "0" 5,9408 17,2 0 NA NA NA NA NA 6,8 8,2975 5,955 4,895 4,87 5,25 5,2275
2014-01-29 "FR" 2153,107539 5,33 "January" "2014" "Wednesday" "0" 0,877960084700888 0,478733840115788 "4" "1" "peak_season" "0" 12,0228700132502 "0" "0" "0" 5,5363 17,2 0 NA NA NA NA NA 5,16 6,8 8,2975 5,955 4,895 4,87 5,25
2014-01-31 "FR" 2074,719241 4,535 "January" "2014" "Friday" "0" 0,860961015888994 0,508670943852104 "6" "1" "peak_season" "0" 12,0254039231936 "0" "0" "0" 4,768875 17,2 0 NA NA NA NA NA 5,33 5,16 6,8 8,2975 5,955 4,895 4,87
2014-02-01 "FR" 1982,169183 7,3775 "February" "2014" "Saturday" "1" 0,852077521101309 0,52341560736555 "7" "1" "peak_season" "0" 12,0267071074247 "1" "0" "0" 6,539875 17,2 0 NA NA NA NA NA 4,535 5,33 5,16 6,8 8,2975 5,955 4,895
2014-02-02 "FR" 1913,509131 6,25 "February" "2014" "Sunday" "1" 0,842941537354783 0,5380051715383 "1" "1" "peak_season" "0" 12,0280338797304 "1" "0" "0" 6,167275 17,2 0 NA NA NA NA NA 7,3775 4,535 5,33 5,16 6,8 8,2975 5,955
2014-02-03 "FR" 2086,290492 5,725 "February" "2014" "Monday" "0" 0,83355577183857 0,55243531316762 "2" "1" "peak_season" "0" 12,0293838200304 "0" "0" "0" 6,07865 17,2 0 NA NA NA NA NA 6,25 7,3775 4,535 5,33 5,16 6,8 8,2975
2014-02-04 "FR" 2009,913824 7,505 "February" "2014" "Tuesday" "0" 0,823923005757554 0,566701756291118 "3" "1" "peak_season" "0" 12,0307565109597 "0" "0" "0" 7,0016 17,2 0 NA NA NA NA NA 5,725 6,25 7,3775 4,535 5,33 5,16 6,8
2014-02-05 "FR" 1998,689045 8,36 "February" "2014" "Wednesday" "0" 0,814046093508218 0,580800273453801 "4" "1" "peak_season" "0" 12,0321515387297 "0" "0" "0" 7,79305 17,2 0 NA NA NA NA NA 7,505 5,725 6,25 7,3775 4,535 5,33 5,16
2014-02-06 "FR" 1871,934193 8,2875 "February" "2014" "Thursday" "0" 0,803927961832821 0,594726686960763 "5" "1" "peak_season" "0" 12,0335684929291 "0" "0" "0" 8,174625 17,2 0 NA NA NA NA NA 8,36 7,505 5,725 6,25 7,3775 4,535 5,33
2014-02-07 "FR" 1858,499252 10,0825 "February" "2014" "Friday" "0" 0,793571608952147 0,608476870115126 "6" "1" "peak_season" "0" 12,0350069668558 "0" "0" "0" 9,50175 17,2 0 NA NA NA NA NA 8,2875 8,36 7,505 5,725 6,25 7,3775 4,535
2014-02-08 "FR" 1783,958569 8,205 "February" "2014" "Saturday" "1" 0,782980103677063 0,622046748440867 "7" "1" "peak_season" "0" 12,036466557516 "1" "0" "0" 8,537375 17,2 0 NA NA NA NA NA 10,0825 8,2875 8,36 7,505 5,725 6,25 7,3775
2014-02-09 "FR" 1804,760603 7,0025 "February" "2014" "Sunday" "1" 0,772156584499164 0,635432300890177 "1" "1" "peak_season" "0" 12,0379468661547 "1" "0" "0" 7,699725 17,2 0 NA NA NA NA NA 8,205 10,0825 8,2875 8,36 7,505 5,725 6,25
2014-02-10 "FR" 2000,962497 7,26 "February" "2014" "Monday" "0" 0,761104258660775 0,648629561034981 "2" "1" "peak_season" "0" 12,0394474978579 "0" "0" "0" 7,367425 17,2 0 NA NA NA NA NA 7,0025 8,205 10,0825 8,2875 8,36 7,505 5,725
