"Conso" "Temp" "cosinus" "sinus" "day_length" "teff" "seuil" "T00" "Wind_Speed" "Cloud_covering" "Solar_radiation" "Raining_Level" "Pressure" "t1" "t2" "t3" "t4" "t5" "t6" "t7" "Date" "month" "year" "day" "weekend" "wday" "quarter" "season" "holidays" "jc" "lagholidays" "leadholidays"
0,779408351531174 -0,899338744880292 1,33909919794257 0,0244641429739428 -1,33983326901514 -0,885545141043533 NA -0,623980786084574 0,439947409190096 0,554893145595476 -1,23664135554722 0,155223898663592 0,668659824874945 -0,834237080217354 -1,58049658054678 -1,05729816781421 -0,869723952631589 -1,51953561540454 -1,24423990361152 -1,41323118308933 2015-01-03 "January" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,629120858544974 -0,887716642975399 1,33764229986899 0,0489760030973269 -1,33361452786593 -0,851391671962271 NA -0,623980786084574 -0,143950514365923 -1,74770202649101 -0,886320938432857 -0,53425598828709 1,61961451625541 -0,79054980732866 -1,58331475954541 -1,0245785257166 -0,834441735634299 -1,03176554679127 -0,540494676510197 -1,32963867848082 2015-01-04 "January" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
1,34206107779711 -1,2181163971288 1,33576988538751 0,0734587794711426 -1,32693694425069 -1,13993439077995 NA -0,623980786084574 -0,127159911717624 0,387130006556348 -1,13791469254227 -0,633444322901048 1,51461385574357 -1,3408561570494 -1,65412150688583 -1,28964439035007 -1,19113634405813 -1,01822980653243 -0,496654809903885 -1,33261085642245 2015-01-05 "January" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
1,31714738745926 -1,14962901090353 1,33348250933497 0,0979052173203687 -1,31980527662868 -1,13923136731926 NA -0,623980786084574 -0,235449865876317 0,634165837668909 -1,04358076204031 -0,299590903956507 0,639655284391616 -1,60068046422953 -1,84117813791951 -1,26390984038565 -0,690731242011188 -1,40303156531951 -1,04888330505006 -1,40728682720606 2015-01-06 "January" "2015" "Tuesday" "0" "3" "1" "peak_season" "0" "0" "0" "0"
1,19694606511651 -0,886471417771303 1,33078084951024 0,122308072637873 -1,31222456536056 -0,986229045889649 NA -0,623980786084574 0,504279942932455 -0,604700419850802 -0,914544244764642 -0,543932898981135 0,912804840399638 -1,43359580651487 -1,68476920349587 -1,14111927341259 -0,622318162711563 -1,32326738165133 -1,3096151432876 -1,60456513808216 2015-01-07 "January" "2015" "Wednesday" "0" "4" "1" "peak_season" "0" "0" "0" "0"
1,14582325168816 -0,632860551203805 1,32766570647345 0,146660114330969 -1,30420012110636 -0,753848219221988 NA -0,623980786084574 1,33626373707851 0,518022126026436 -1,29627269927547 3,78890386427736 0,378544020671597 -0,943455262439089 -1,37159906227378 -0,558415534932631 -0,905866711506863 -1,01677954864756 -1,14194688153013 -1,43960926232135 2015-01-08 "January" "2015" "Thursday" "0" "5" "1" "peak_season" "0" "0" "0" "0"
0,764272348017049 -0,37094818327567 1,32413800330871 0,170954126364142 -1,29573750851959 -0,489300911936809 NA -0,623980786084574 3,14493236167675 1,04159060390679 -1,23049153004302 1,21968407500851 -0,0919701694262306 -0,602387956553671 -1,02531531781785 -0,222763476111052 -0,4712930631256 -0,721410359427831 -0,650094343025977 -1,10932598855704 2015-01-09 "January" "2015" "Friday" "0" "6" "1" "peak_season" "0" "0" "0" "0"
0,116878178887459 -0,0152288499723218 1,32019878535059 0,19518290989732 -1,28684253150943 -0,157297030196048 NA -0,623980786084574 4,00766748426857 0,398191312427059 -1,21401878315677 0,455208130178977 -0,676953735315026 -0,219932707931597 -0,592724841529056 0,129064585545302 -0,108574661555892 -0,416372784308932 -0,307835735310031 -0,744119623978508 2015-01-10 "January" "2015" "Saturday" "1" "7" "1" "peak_season" "0" "1" "0" "0"
0,533966076942372 -0,806361929641144 1,3158492198744 0,21933928541904 -1,27752121850281 -0,635677132006396 NA -0,623980786084574 2,81779859772 0,398191312427059 -1,03808984641156 -0,381844644855887 -0,0548345016957475 -0,832320971757324 -1,43148536599454 -0,773482845349524 -0,315534983210731 -0,00208244852938217 0,0759553776118946 -0,287890309937366 2015-01-11 "January" "2015" "Sunday" "1" "1" "1" "peak_season" "0" "1" "0" "0"
0,809311615179731 -0,336912027697053 1,31109059575025 0,2434160948739 -1,26777980770652 -0,367479996335484 NA -0,623980786084574 3,0058910790723 1,17616982533378 -1,24927046149335 0,385050527647153 -0,438898265304432 -0,913180748770608 -1,22294012009636 -0,361730045918891 -1,01945823940058 -0,92347962472054 -0,538571875343253 -1,17248476981681 2015-01-12 "January" "2015" "Monday" "0" "2" "1" "peak_season" "0" "0" "0" "0"
